,lane,tile,cycle,errorrate,nPerfect,n1Error,n2Error,n3Error,n4Error
452,1,1104,8,0.027932961,10651,89,0,0,0
453,1,1105,8,0.065783292,10551,90,0,0,0
454,1,1106,8,0.046433877,10676,92,0,0,0
455,1,1107,8,0.037523452,10579,81,0,0,0
456,1,1108,8,0.081997082,10875,102,0,0,0
457,1,1109,8,0.064971223,10695,79,0,0,0
458,1,1110,8,0.064605445,10742,93,0,0,0
459,1,1111,8,0.045049105,11018,81,0,0,0
460,1,1112,8,0.101691782,10705,112,0,0,0
461,1,1113,8,0.093519121,10592,101,0,0,0
462,1,1114,8,0.076416083,10376,94,0,0,0
463,1,1115,8,0.112951808,10522,103,0,0,0
464,1,1116,8,0.07493443,10593,85,0,0,0
465,1,1201,8,0.028609574,10415,71,0,0,0
466,1,1202,8,0.04742483,10446,97,0,0,0
467,1,1203,8,0.065845169,10546,86,0,0,0
468,1,1204,8,0.075607218,10484,97,0,0,0
469,1,1205,8,0.065678366,10572,86,0,0,0
470,1,1206,8,0.066106334,10333,257,0,0,0
471,1,1207,8,0.036673695,10805,103,0,0,0
472,1,1208,8,0.018283207,10857,82,0,0,0
473,1,1209,8,0.072753727,10900,97,0,0,0
474,1,1210,8,0.064995356,10691,81,0,0,0
475,1,1211,8,0.036189269,10962,91,0,0,0
476,1,1212,8,0.064700991,10718,102,0,0,0
477,1,1213,8,0.037519932,10562,101,0,0,0
478,1,1214,8,0.046189375,10720,106,0,0,0
479,1,1215,8,0.064367816,10766,109,0,0,0
480,1,1216,8,0.115391441,11165,101,0,0,0
481,1,2101,8,0.00947508,10474,80,0,0,0
482,1,2102,8,0.074801311,10607,88,0,0,0
483,1,2103,8,0.036985669,10725,91,0,0,0
484,1,2104,8,0.036845982,10779,77,0,0,0
485,1,2105,8,0.06589476,10544,79,0,0,0
486,1,2106,8,0.073882528,10713,117,0,0,0
487,1,2107,8,0.035826243,11081,84,0,0,0
488,1,2108,8,0.03601981,11029,76,0,0,0
489,1,2109,8,0.035618879,11135,95,0,0,0
490,1,2110,8,0.045171198,10966,103,0,0,0
491,1,2111,8,0.080421768,11104,89,0,0,0
492,1,2112,8,0.044871219,11031,113,0,0,0
493,1,2113,8,0.080782697,11025,118,0,0,0
494,1,2114,8,0.062477686,11093,111,0,0,0
495,1,2115,8,0.062989295,11004,111,0,0,0
496,1,2116,8,0.061306708,11309,109,0,0,0
497,1,2201,8,0.046763934,10613,79,0,0,0
498,1,2202,8,0.04645545,10684,79,0,0,0
499,1,2203,8,0.01860119,10661,92,0,0,0
500,1,2204,8,0.064049773,10829,101,0,0,0
501,1,2205,8,0.08230453,10843,94,0,0,0
502,1,2206,8,0.035868004,10786,366,0,0,0
503,1,2207,8,0.044408917,11176,83,0,0,0
504,1,2208,8,0.034998689,11333,97,0,0,0
505,1,2209,8,0.097682267,11172,90,0,0,0
506,1,2210,8,0.07033585,11272,104,0,0,0
507,1,2211,8,0.053981107,11028,87,0,0,0
